figure_id,page,label,caption,image_path
fig_001,1,picture,,images/fig_001_no_caption.png
fig_002,1,picture,,images/fig_002_no_caption.png
fig_003,1,picture,"Figure 1: Overview of Chemiscope 1.0 multi-environment support. The Python API accepts structures from ASE, MDAnalysis, stk, and Chemfiles, along with user-defined properties and visualization settings. These inputs can be rendered as an interactive Jupyter widget, embedded in Streamlit applications, integrated into Sphinx documentation, or exported for the standalone web application at chemiscope.org.",images/fig_003_Figure_1_Overview_of_Chemiscope_10_mul.png
fig_004,2,picture,,images/fig_004_no_caption.png
fig_005,3,picture,,images/fig_005_no_caption.png
fig_006,3,picture,"Figure 2: 50k random structures from the MD22 dataset (Chmiela et al., 2022) visualized with Chemiscope by projecting them into the PET-MAD reduced latent space using chemiscope.explore . Panel a) shows the Chemiscope widget overall, panel b) a zoom-in of the map demonstrating adaptive level-of-detail rendering, panel c) the 3D view with selective coloring by cohesive energy, and panel d) the shape functionality displaying forces as arrows.",images/fig_006_Figure_2_50k_random_structures_from_the.png
fig_007,4,picture,,images/fig_007_no_caption.png
fig_008,5,picture,,images/fig_008_no_caption.png
fig_009,6,picture,,images/fig_009_no_caption.png
fig_010,7,picture,,images/fig_010_no_caption.png
