figure_id,page,label,caption,image_path
fig_001,2,picture,Silvia Surez,images/fig_001_Silvia_Surez.png
fig_002,2,picture,Mara D : Hernndez -Alonso,images/fig_002_Mara_D__Hernndez_-Alonso.png
fig_003,2,picture,Juan M : Coronado,images/fig_003_Juan_M__Coronado.png
fig_004,2,picture,Fernando Fresno,images/fig_004_Fernando_Fresno.png
fig_005,3,picture,Fig. 2 Pictorial diagram showing the main events of photocatalysis over semiconductors.,images/fig_005_Fig_2_Pictorial_diagram_showing_the_mai.png
fig_006,3,picture,"Fig. 1 Annual evolution of the number of publications devoted to photocatalysis with alternative materials to TiO2. ZnO ( ), sulfides ( ) and mixed oxides containing Nb, V, Ti or Ta ( ). Data source: ISI web of knowledge.",images/fig_006_Fig_1_Annual_evolution_of_the_number_of.png
fig_007,4,picture,"Fig. 3 Examples of single site photocatalytic centres (A), and pictorial diagram (B) showing the mechanism of CO photo-oxidation over singlesite photocatalysts with Mo centres. (Based on ref. 28).",images/fig_007_Fig_3_Examples_of_single_site_photocata.png
fig_008,5,picture,"Fig. 4 Band gaps (eV) and redox potentials, using the normal hydrogen electrode (NHE) as a reference, for several semiconductors (Based on the data in ref. 8,10-12).",images/fig_008_Fig_4_Band_gaps_eV_and_redox_potentia.png
fig_009,5,picture,"Fig. 5 Photoactivity expressed as the initial rate for the decomposition of three different pollutants in aqueous solution using different TiO2 commercial photocatalysts with the structures: anatase (A) supplied by Millenium, rutile (R), or a mixture of rutile and anatase (R + A; Degussa P25). Data taken from ref. 46.",images/fig_009_Fig_5_Photoactivity_expressed_as_the_in.png
fig_010,7,picture,Fig. 6 Mechanism for charge separation on TiO2 coupled with a different semiconductor.,images/fig_010_Fig_6_Mechanism_for_charge_separation_o.png
fig_011,8,picture,"Fig. 7 Incident solar power as a function of the photons wavelength as obtained from the integration of the 1.5 AM reference spectrum 74 . Dashed lines represent the solar power accumulated at each wavelength considering photon efficiencies of 5% and 25%. The different symbol marks some of the current or future achievements of photocatalysis for H2 production using TiO2, ZnS, CdS or (Ga0.88Zn0.12)(N0.88O0.12) as photocatalyst. It should be noted that these values are significantly overestimated because total photon absorption is considered and consequently H2 production rates would be appreciably lower in practice.",images/fig_011_Fig_7_Incident_solar_power_as_a_functio.png
fig_012,9,picture,Fig. 8 SEM images of (a) Au and (b) NiO x loaded on BaLa4Ti4O15 photocatalysts by a photo-deposition method. (Reproduced from ref. 94).,images/fig_012_Fig_8_SEM_images_of_a_Au_and_b_NiO_.png
fig_013,13,picture,Fig. 9 Left panel: Photocatalytic degradation of aqueous rhodamine B over flower-shaped Bi2WO6 (A); uncalcined (B); TiO2 Degussa P25 (C); and solid-state synthesized Bi2WO6 (D). Right: SEM image of uncalcined hydrothermally treated Bi2WO6 superstructure. Figure adapted from ref. 143.,images/fig_013_Fig_9_Left_panel_Photocatalytic_degrad.png
fig_014,16,picture,Fig. 10 Transmission electron micrographs of the oxynitride nanoparticles ammonolyzed at (a) 800  C and (b) 1000  C. In (c) a high resolution TEM image of the sample treated in NH3 at 800  C is shown. In (d) a typical electron energy loss spectrum clearly shows the presence of nitrogen in the crystallites. (Reproduced from ref. 177).,images/fig_014_Fig_10_Transmission_electron_micrograph.png
fig_015,22,picture,"Fig. 11 Pictorial diagram showing the proposed mechanism of CO2 photoreduction, using either H2 or CH4 as the reductant, over MgO or ZrO2. From ref. 286-288",images/fig_015_Fig_11_Pictorial_diagram_showing_the_pr.png
