figure_id,page,label,caption,image_path
fig_001,4,picture,Fig. 1. A chronological overview of LLMs for code generation in recent years. The timeline was established mainly according to the release date. The models with publicly available model checkpoints are highlighted in green color.,images/fig_001_Fig_1_A_chronological_overview_of_LLMs.png
fig_002,6,picture,"Fig. 2. The overview of LLMs with encoder-decoder and decoder-only Transformer architecture for code generation, adapted from [254].",images/fig_002_Fig_2_The_overview_of_LLMs_with_encode.png
fig_003,10,picture,Fig. 3. Overview of the paper search and collection process.,images/fig_003_Fig_3_Overview_of_the_paper_search_and.png
fig_004,15,picture,Fig. 4. Data qualitative analysis. Top : Annual distribution of selected papers across various publication venues. Bottom : Distribution analysis of research topics covered in the included papers.,images/fig_004_Fig_4_Data_qualitative_analysis_Top_.png
fig_005,16,picture,"Fig. 5. A diagram illustrating the general training, inference, and evaluation workflow for Code LLMs and their associated databases. The training workflow is mainly divided into four distinct stages: Stages G 2460 and G 2461 are the pre-training phase, whereas Stages G 2462 and G 2463 represent the post-training phases. It is important to note that Stages G 2461 and G 2463 are optional. For instance, StarCoder [146] incorporates only Stage G 2460 . WizardCoder [171], fine-tuned upon StarCoder, includes only Stage G 2462 , while Code Llama [224], continually pre-trained on Llama 2, encompasses Stages G 2461 and G 2462 . DeepSeek-Coder-V2 [330], continually pre-trained on DeepSeek-V2, covers Stages G 2461 , G 2462 , and G 2463 . Note that pre-trained model can be directly used for inference through prompt engineering.",images/fig_005_Fig_5_A_diagram_illustrating_the_gener.png
fig_006,17,picture,Fig. 6. Taxonomy of LLMs for code generation.,images/fig_006_Fig_6_Taxonomy_of_LLMs_for_code_genera.png
fig_007,18,picture,"Fig. 7. The diagram provides a comprehensive overview of various techniques and their interconnections within the development of LLMs. Circular icons, distinguished by different colors, represent the specific techniques, while gray rectangles denote the evolved models with corresponding techniques. The upper section of the diagram outlines the techniques involved in the model training process, such as pre-training, instruction tuning, and reinforcement learning from human feedback (RLHF), as well as the incorporation of synthetic data. The lower section highlights the techniques related to model inference and evaluation, including prompt engineering, multi-turn prompting, retrieval-augmented generation, and LLM-based evaluations like LLM-asa-Judge. This visual representation underscores the dynamic evolution and integration of innovations in LLM development, facilitating a clearer understanding of how these technologies progressively enhance model capabilities and address various challenges.",images/fig_007_Fig_7_The_diagram_provides_a_comprehen.png
fig_008,20,picture,Fig. 8. A diagram depicting the standard data preprocessing workflow utilized in the pre-training phase of LLMs for code generation.,images/fig_008_Fig_8_A_diagram_depicting_the_standard.png
fig_009,28,picture,"Fig. 9. The comparison among three representative data synthesis methods used for generating instruction data with LLMs. The Code Alpaca [44] employs the self-instruct method, whereas WizardCoder [171] and Magicoder [276] utilize the Evol-Instruct and OSS-Instruct methods, respectively.",images/fig_009_Fig_9_The_comparison_among_three_repre.png
fig_010,31,picture,"Fig. 10. Comparison of instruction tuning with various fine-tuning strategies and prompting for code tasks, adapted from [272]. For (a), which involves training a Transformer from scratch, please refer to [7] for its use in source code summarization task. In the case of (e), we utilize a representative RLHF [198] as an example. Additional reinforcement learning methods, such as DPO [213], are also applicable at this stage.",images/fig_010_Fig_10_Comparison_of_instruction_tunin.png
