figure_id,page,label,caption,image_path
fig_001,1,picture,Figure 1: We use our method to create detailed per-point labeling of 31963 models in 16 shape categories in ShapeNetCore.,images/fig_001_Figure_1_We_use_our_method_to_create_de.png
fig_002,2,picture,"Figure 2: This figure illustrates the number of correctly-labeled models (y-axis) as people spend more time providing input (xaxis) for a representative collection. Our result corresponds to the highest-performing curve (a), and we provide two variants of our method, one that does not include verification (b), and one that only uses local geometric features to train a single classifier for the entire dataset (c). We also show baseline cost of manually labeling every model (d). Note that all variants take substantially longer to annotate the entire dataset.",images/fig_002_Figure_2_This_figure_illustrates_the_nu.png
fig_003,4,picture,Figure 3: This figure summarizes our pipeline. Given the input dataset we select annotation set and use our UI to obtain human labels. We automatically propagate these labels to the rest of the shapes and then query the users to verify most confident propagations. We then use these verifications to improve our propagation technique.,images/fig_003_Figure_3_This_figure_summarizes_our_pip.png
fig_004,5,picture,,images/fig_004_no_caption.png
fig_005,5,picture,"Figure 4: At each iteration our method selects an annotation set (in orange) and a verification set (in blue) from the shape network (in gray). The models selected for annotation are distributed over the network to provide good coverage of shape variations. In contrast, models selected for verification tend to cluster close to annotated models since labels can be more reliably propagated between them.",images/fig_005_Figure_4_At_each_iteration_our_method_s.png
fig_006,6,picture,"Figure 6: User interface for acquiring semantic labeling. Our interface is designed for crowdsourcing and is therefore very lightweight and simple; the user only annotates a single label, on a single shape, from a single viewpoint.",images/fig_006_Figure_6_User_interface_for_acquiring_s.png
fig_007,7,picture,"Figure 7: Given a set of human annotated models (top) and two unlabeled shapes (bottom), the labels can be propagated by (a) using only the feature-based classifier trained on all annotated models, (b) using only the most similar model to train the classifier, and (c) using correspondences and smoothness terms. Incorporating both (b) and (c) significantly improves the result in comparison to currently used alternatives (a).",images/fig_007_Figure_7_Given_a_set_of_human_annotated.png
fig_008,7,picture,,images/fig_008_no_caption.png
fig_009,8,picture,"Figure 9: We use our method to get part labels for more than 30,000 models in 16 shape categories in ShapeNetCore. We denote the number of models in each category in parentheses.",images/fig_009_Figure_9_We_use_our_method_to_get_part_.png
fig_010,9,picture,"Figure 10: Number of positively-verified labeled shapes (y-axis) as a function of human input time (x-axis) for representative labels in our data. As expected the graph is monotonically increasing, and flattens out as time progresses and the algorithm encounters more diverse models. Note the relative inefficiency of manual labeling.",images/fig_010_Figure_10_Number_of_positively-verified.png
fig_011,9,picture,"Figure 11: Force-multiplication factor (FMF, y-axis) over time. Predictably FMF drops as the system annotates a higher fraction of the model collection (x-axis).",images/fig_011_Figure_11_Force-multiplication_factor_.png
fig_012,10,picture,Figure 12: Our automatic label propagation tool demonstrates a superior performance in comparison to previous techniques (adapted to handle ShapeNetCore data).,images/fig_012_Figure_12_Our_automatic_label_propagati.png
fig_013,11,picture,"Figure 13: Comparison of different variants of our method where each curve corresponds to a result obtained without some feature, and x-axis is human input time and y-axis is average per-part F1score. See text for details.",images/fig_013_Figure_13_Comparison_of_different_varia.png
