figure_id,page,label,caption,image_path
fig_001,1,picture,,images/fig_001_no_caption.png
fig_002,1,picture,,images/fig_002_no_caption.png
fig_003,1,picture,,images/fig_003_no_caption.png
fig_004,1,picture,,images/fig_004_no_caption.png
fig_005,1,picture,,images/fig_005_no_caption.png
fig_006,1,picture,,images/fig_006_no_caption.png
fig_007,1,picture,,images/fig_007_no_caption.png
fig_008,1,picture,,images/fig_008_no_caption.png
fig_009,2,picture,Fig. 1. Detailed flow chart of the simulation framework used in this study.,images/fig_009_Fig_1_Detailed_flow_chart_of_the_simul.png
fig_010,3,picture,,images/fig_010_no_caption.png
fig_011,5,picture,Fig. 3. Variations in the temperature and potential energy of the simulation system during the relaxation period.,images/fig_011_Fig_3_Variations_in_the_temperature_an.png
fig_012,6,picture,"Fig. 4. The change of the Frenkel defect logarithm of (a) Cu- 0 at%Ni, (b) Cu-5at%Ni, (c) Cu-10at%Ni and (d) Cu-20at%Ni in the direction [100] with time at different temperatures and at PKA energy of 4 keV.",images/fig_012_Fig_4_The_change_of_the_Frenkel_defect.png
fig_013,6,picture,Fig. 5. Number of Frenkel defect pairs in Cu -Ni alloys during the stable stage at different temperatures. (a) Defect count as a function of temperature for Cu alloys with varying Ni contents. (b) Defect count at different temperatures for Cu -Ni alloys with varying Ni contents.,images/fig_013_Fig_5_Number_of_Frenkel_defect_pairs_i.png
fig_014,7,picture,Fig. 6. The number of Frenkel defect pairs in Cu and Cu -Ni alloys changes over time with PKA energy of 4 keV along the [100] direction at 300 K.,images/fig_014_Fig_6_The_number_of_Frenkel_defect_pai.png
fig_015,7,picture,"Fig. 7. The final distribution of Frenkel defect pairs(t = 100ps) in Cu-10at%Ni alloy at different temperatures with PKA energy of 4 keV and along the [100] direction, where red and blue circles represent interstitial atoms and vacancies, respectively.",images/fig_015_Fig_7_The_final_distribution_of_Frenke.png
fig_016,8,picture,"Fig. 8. The number of Frenkel defect pairs of (a) Cu-0at%Ni, (b) Cu-5at%Ni, (c) Cu-10at%Ni and (d) Cu-20at%Ni under different PKA energy irradiation changes with time at 300 K.",images/fig_016_Fig_8_The_number_of_Frenkel_defect_pai.png
fig_017,8,picture,Fig. 9. The number of Frenkel defect pair(t = 50ps) as a function of Ni content with different PKA energies at 300 K.,images/fig_017_Fig_9_The_number_of_Frenkel_defect_pai.png
fig_018,9,picture,"Fig. 10. The number of Frenkel defect pairs in Cu and Cu -Ni alloys at 300 K with a PKA energy of 10 keV along the [100] direction, (a) initial stage, (b) peak stage and (c) stable stage, where red and blue circles represent interstitial atoms and vacancies, respectively.",images/fig_018_Fig_10_The_number_of_Frenkel_defect_pa.png
fig_019,10,picture,Fig. 11. (a) Vacant clusters and (b) interstitial clusters in Cu and Cu -Ni alloys during displacement damage process with different PKA energies along the [100] direction at 300 K.,images/fig_019_Fig_11_a_Vacant_clusters_and_b_int.png
