figure_id,page,label,caption,image_path
fig_001,1,picture,,images/fig_001_no_caption.png
fig_002,10,picture,Figure 1: Scheme of TGS coupled with in situ irradiation. Adapted from [24].,images/fig_002_Figure_1_Scheme_of_TGS_coupled_with_in_.png
fig_003,13,picture,Figure 2: Irradiation depth profile as calculated by SRIM and nominal TGS e-folding depth sensitivity for thermal and acoustic wave properties.,images/fig_003_Figure_2_Irradiation_depth_profile_as_c.png
fig_004,15,picture,"Figure 3: in situ TGS results from 7 MeV Cu 3+ irradiation at 23.3 mW (a) and from 1.63 MeV proton irradiation (b). Most crucially, these two results show that two experiments with the same beam heating power in Watts produce changes in SAW frequency proportional to their ion stopping powers, and not to beam heating temperature. This isolates the effect of beam heating from vacancy concentration on the changes in SAW frequency and thermal diffusivity. c) 0.2% offset Yield Strength model for GRCop-84 from [35], showing that a 0.4% change in elastic properties would imply an increase in temperature of 140 ◦ C . d) Infrared camera calibration and temperature measurement for different isotopes of copper at 1.68MV terminal potential. This plot shows that the maximum increase in temperature for Cu 2+ is 13 ◦ C , and just around 1 . 5 ◦ C for 15 nA of Cu 3+ (current conditions used in plots a) and b).",images/fig_004_Figure_3_in_situ_TGS_results_from_7_MeV.png
fig_005,17,picture,"Figure 4: Periodic pulsed beam experiment, showing how SAW frequency evolves as the Cu-ion beam is cycled on and off. The white background and orange dots represent the periods in which the beam is on, and the grey background and blue dots represent the periods in which the beam is off.",images/fig_005_Figure_4_Periodic_pulsed_beam_experimen.png
fig_006,18,picture,"Figure 5: Vacancy concentration evolution with increasing dose for a periodic pulsed beam experiment. The initial large increase represents the change from only thermal point defects (here we deem this to be negligible) to a high concentration, while the increases at all subsequent doses are much smaller as the proliferation of radiation defects from initial irradiation quickly reduces later vacancy concentrations.",images/fig_006_Figure_5_Vacancy_concentration_evolutio.png
fig_007,19,picture,"Figure 6: Vacancy concentration calculated for each beam pulse during the logarithmic pulsed-beam experiment (Fig. 4). The concentration of vacancies created corresponds to the beam on periods, and the concentration of vacancies annihilated corresponds to the beam off periods. The color of each point corresponds to the quality of the data, measured by R 2 value.",images/fig_007_Figure_6_Vacancy_concentration_calculat.png
fig_008,20,picture,"Figure 7: Logarithmic pulsed beam experiment. The white background and orange dots represent the periods in which the beam is on, and the grey background and blue dots represent the periods in which the beam is off.",images/fig_008_Figure_7_Logarithmic_pulsed_beam_experi.png
fig_009,20,picture,"Figure 8: Cumulative vacancy concentration comparison between a) the periodic pulsedbeam, and b) the logarithmic scale pulsed-beam experiments.",images/fig_009_Figure_8_Cumulative_vacancy_concentrati.png
fig_010,21,picture,"Figure 9: TEM images from the different Cu-Cr-Ta compositions. On the left side pictures were taken with an underfocus value of -1 µm , and images on the right column were taken with an overfocus value of +1 µm .",images/fig_010_Figure_9_TEM_images_from_the_different_.png
fig_011,22,picture,Figure 10: Distribution of the number and size of voids detected on each sample. Void densities per µm 2 for each composition are shown in the upper right.,images/fig_011_Figure_10_Distribution_of_the_number_an.png
fig_012,25,picture,"Figure 11: Point defect evolution for FeNi at 300K and 10-3 DPA/s, obtained from standard rate theory and atomistic kinetic Monte Carlo (AKMC) simulations using a random sink distribution and an annihilation rate of sinks. Plot adapted from [36].",images/fig_012_Figure_11_Point_defect_evolution_for_Fe.png
fig_013,28,picture,Figure 12: Beam on/off period fitting. The data from these fitting correspond to the 4228 s beam on period and the 4404 s beam off period from Figure 4.,images/fig_013_Figure_12_Beam_onoff_period_fitting_T.png
fig_014,32,picture,"Figure 13: Vacancy concentration calculated for each beam pulse during the logarithmic pulsed-beam experiment (Figure 7). the concentration of vacancies created correspond to the beam on periods, and the concentration of vacancies annihilated correspond to the beam off period. The color of each point corresponsd to the quality of the data, measured by its R 2 value.",images/fig_014_Figure_13_Vacancy_concentration_calcula.png
fig_015,33,picture,"Figure 14: Cumulative vacancy concentration calculated for Cu-9Cr-4Ta (dark blue) and Cu-24Cr-5Ta (light blue) with increasing DPA, showing that the former, despite lower alloying element concentration, exhibits less vacancy concentration increase at similar doses.",images/fig_015_Figure_14_Cumulative_vacancy_concentrat.png
