figure_id,page,label,caption,image_path
fig_001,1,picture,,images/fig_001_no_caption.png
fig_002,1,picture,,images/fig_002_no_caption.png
fig_003,1,picture,,images/fig_003_no_caption.png
fig_004,1,picture,,images/fig_004_no_caption.png
fig_005,1,picture,,images/fig_005_no_caption.png
fig_006,2,picture,,images/fig_006_no_caption.png
fig_007,2,picture,,images/fig_007_no_caption.png
fig_008,2,picture,,images/fig_008_no_caption.png
fig_009,2,picture,,images/fig_009_no_caption.png
fig_010,2,picture,,images/fig_010_no_caption.png
fig_011,3,picture,"Fig. 1 Illustration of the passage from a 3D conformation (a) to a 2DMolGraph (b). (a) One snapshot in the 3D representation of the gas phase molecule (C14H20NO18S2) extracted from a MD trajectory. (b) Associated topological 2D-MolGraph. In the left panel, carbon atoms are represented in green, nitrogen atoms in blue, oxygen atoms in red, hydrogen atoms in light gray, and sulfur atoms in yellow. In the 2D MolGraph, the conventions are the following. Vertices are colored in dark gray, blue, red, and light blue, corresponding respectively to a carbon atom, nitrogen atom, oxygen atom, and sulfur atoms. Hydrogen atoms are not included in vertices, their knowledge is included only through directed arcs that represent hydrogen bonds. The edges are colored and represented in black lines for a covalent bond and in red dashed lines (arc) for hydrogen bonds, this latter edge being directed from the donor to the acceptor of the H-bond.",images/fig_011_Fig_1_Illustration_of_the_passage_from_.png
fig_012,4,picture,"Fig. 2 Identification of conformations over a given MD trajectory, following the sequences of (a) the 2D-MolGraph representation of the 3D-structures (at each snapshot of the MD), (b) isomorphism tests (fingerprinting) of the calculated graphs, (c) generation of the complete graph network (the graph of transitions).",images/fig_012_Fig_2_Identification_of_conformations_o.png
fig_013,5,picture,Fig. 3 The generalized workflow for the autonomous exploration of the organometallic catalyst active site.,images/fig_013_Fig_3_The_generalized_workflow_for_the_.png
fig_014,6,picture,"Fig. 4 The network of states of the silica-supported zirconocene hydride catalyst discovered with molecular dynamics and graph theory. ''RCp'' stands for n -butylcyclopentadienyl. In some 3D representations, the Cp in the front of the viewer is not shown for clarity.",images/fig_014_Fig_4_The_network_of_states_of_the_sili.png
fig_015,7,picture,"Fig. 5 Illustration of the passage from a 3D structure (a) to a 2D-MolGraph (b), to 2D-Motifs (c and d) schematically represented in (c) and with their associated 2D-MolGraphs in (d). The snapshot in (a) is a 3D representation of the (110)-quartz/liquid water interface taken from our ab initio MD simulation. Silicon atoms are in grey, oxygens in red, hydrogens in white. The associated 2D-MolGraph is reported in (b). By convention, oxygens of water are the red vertices, oxygens of the silica top-surface are the orange vertices, silicon atoms are the grey vertices. The atomistic schemes in (c) show two geometrical motifs that were extracted from the motif analysis: one motif (c-top) corresponds to an out-of-plane Si-OH at the top-surface of silica that is acting as a H-bond donor to a water molecule in the BIL, the second motif (c-bottom) is composed of an in-plane Si-OH at the top-surface of silica that is acting as a H-bond acceptor with a water molecule. The associated 2D-MolGraphs are respectively in d-top and d-bottom, see Section 2 for the definitions of vertices and edges in 2D-MolGraphs.",images/fig_015_Fig_5_Illustration_of_the_passage_from_.png
fig_016,8,picture,"Fig. 7 Illustration of two 2-partner motifs that are recognized in the BIL of the (110)-quartz/liquid water interface. The chemical and geometrical compositions of the two motifs are schematized in the figure, the 2DMotif topological graphs associated with each motif are also reported. These 2D-Motif graphs are composed of 3 vertices (thus of size 3) and 2 edges (one edge for a covalent bond, one edge for a hydrogen bond). See Section 2 for more details on the definitions of our graphs. Motifs M 1 and M 2 are composed of one silanol (SiOH) and one water molecule. Motif M 1 (left) has its silanol acting as the acceptor of a hydrogen bond from a water molecule, while this silanol acts as the donor of H-bond to water in motif M 2 (right).",images/fig_016_Fig_7_Illustration_of_two_2-partner_mot.png
fig_017,8,picture,Fig. 6 Illustration of concepts for the coverage of occurrences of a given 2D-Motif (left) within a 2D-MolGraph (right). See text for details.,images/fig_017_Fig_6_Illustration_of_concepts_for_the_.png
fig_018,9,picture,,images/fig_018_no_caption.png
fig_019,9,picture,Fig. 8 Distribution of the number of occurrences/instances of the 2D-Motifs M 1 (left) and M 2 (right) for the set of 2D-MolGraphs/conformations/ snapshots analyzed over a 10 ps trajectory of the (110)-quartz/liquid water interface (analyses performed every 250 snapshots). See Fig. 7 for the description of the 2D-Motifs M 1 and M 2.,images/fig_019_Fig_8_Distribution_of_the_number_of_occ.png
fig_020,9,picture,"Fig. 9 Distribution of the number of occurrences and coverage rate between motifs of size 3 that contain at least one hydrogen bond and one oxygen atom of the surface, that are being recognized over the 100 conformations extracted from the (110)-quartz/liquid water interface trajectory. The black and white crosses respectively report the ranking of motif M1 and M2.",images/fig_020_Fig_9_Distribution_of_the_number_of_occ.png
fig_021,10,picture,,images/fig_021_no_caption.png
fig_022,11,picture,"Fig. 11 Illustration of one 4-partner motif ( M 3) made of the union of two 2-partner motifs ( M 1 and M 2) that are H-bonded together through silanol    silanol. For one given snapshot taken randomly out of the 10 ps trajectory, the instances of M 3 found at the (110)-quartz/liquid water interface are reported through the green vertices of the 2D-MolGraph (right side).",images/fig_022_Fig_11_Illustration_of_one_4-partner_mo.png
