figure_id,page,label,caption,image_path
fig_001,1,picture,,images/fig_001_no_caption.png
fig_002,1,picture,,images/fig_002_no_caption.png
fig_003,1,picture,,images/fig_003_no_caption.png
fig_004,1,picture,,images/fig_004_no_caption.png
fig_005,2,picture,"Fig. 1. Theory and modelling of fusion materials will necessarily play a part in transitioning from present, experimental devices to future fusion reactors. In this review, we highlight examples from the state-of-the-art alongside the areas where we see gaps that should soon be addressed (central image: ©2023 United Kingdom Atomic Energy Authority).",images/fig_005_Fig_1_Theory_and_modelling_of_fusion_m.png
fig_006,3,picture,"Fig. 2. Variation in the predicted damage dose rate (measured according to the NRT-displacements per atom or dpa per unit time), and helium and hydrogen production per year that would be experienced in pure Fe as a function of depth into the plasma-facing wall of a typical fusion tokamak design. Also shown is the variation in total neutron fl ux over the same depth for the design (an early concept of the STEP prototype [44,45]) that included other materials, such as tungs10 armour and tritium breeding materials. The neutron fl uxes are the volume averages in voxels of a rectangular mesh superimposed over the underlying (STEP) tokamak geometry and include the accumulated contributions from all nuclear interactions, including neutron scattering, multiplication, and absorption. This large variation of neutron-exposure-related phenomena on the engineering component-scale highlights the heterogeneous modelling challenge that must be solved to predict material performance at this scale.",images/fig_006_Fig_2_Variation_in_the_predicted_damag.png
fig_007,4,picture,"Fig. 3. (a) Transmutation of W after 10 years of continuous exposure to the plasma-facing conditions expected in a prototype fusion reactor; (b) Atomic arrangement of the surface models used to calculate the general stacking faults energy (GSFE) on the ⟨ 111 ⟩ { ̄ 110} slip system; (c) Evolution of the lattice constant in transmuted W-alloys during the fi rst ten years of continuous exposure to EU-DEMO conditions, in terms of the relative difference   0 =  0  - 0 0  0 0 ; and (d) GSFE for the slip along ⟨ 111 ⟩ direction in { ̄ 110} plane after 5 years of irradiation. Figure adapted from [48,49].",images/fig_007_Fig_3_a_Transmutation_of_W_after_10_.png
fig_008,4,picture,Fig. 4. Summary of method combining transport and inventory calculation to investigate material activity with independent uncertainty analysis on relevant nuclear data.,images/fig_008_Fig_4_Summary_of_method_combining_tran.png
fig_009,6,picture,"Fig. 5. Top: A section of phase diagram containing Re, Os cluster concentration determined from experimental data for neutron irradiated W and for ion irradiated W-Re-Os with similar alloy composition and dose [75-78]. Bottom: First principles based Monte Carlo simulations in a bcc 30x30x30 supercell containing voids (blue) decorated by Re (red) and Os (green) in W with 2at% Re and 0.2at% Os and 0.2 at% vacancy at 1173K [68,69]. (For interpretation of the references to colour in this fi gure legend, the reader is referred to the web version of this article.)",images/fig_009_Fig_5_Top_A_section_of_phase_diagram_.png
fig_010,7,picture,Fig. 6. Short-range order evolution in W-Cr-Y-Zr SMART materials as function of alloy compositions-a) being W 70 Cr 28 Y 1 Zr 1 and b) being W 70 Cr 29 Y 0 . 5 Zr 0 . 5 -showing the phase decomposition between W and Cr whereas the SRO between Y and Zr (insert fi gures) is strongly negative [79-81].,images/fig_010_Fig_6_Short-range_order_evolution_in_W.png
