figure_id,page,label,caption,image_path
fig_001,1,picture,,images/fig_001_no_caption.png
fig_002,1,picture,,images/fig_002_no_caption.png
fig_003,1,picture,,images/fig_003_no_caption.png
fig_004,4,picture,"Fig. 2. Measured EELS spectra for DLC samples with diverse sp 3 content: 20% (green line), 30% (blue line), 35% (black line) and 55% (red line). For comparison an EELS spectra for a graphite sample is also shown (orange line).",images/fig_004_Fig_2_Measured_EELS_spectra_for_DLC_sa.png
fig_005,4,picture,"Fig. 1. Measured Raman spectra for DLC samples with diverse sp 3 content: 20% (green line), 30% (blue line), 35% (black line) and 55% (red line).",images/fig_005_Fig_1_Measured_Raman_spectra_for_DLC_s.png
fig_006,5,picture,Fig. 4. Hybridization percentage of samples generated using DFT and EDIP with 256 atoms.,images/fig_006_Fig_4_Hybridization_percentage_of_samp.png
fig_007,5,picture,"Fig. 3. Experimental nanoindentation load-depth curves for DLC samples with diverse sp 3 content: 20% (green line), 30% (blue line), 35% (black line) and 55% (red line).",images/fig_007_Fig_3_Experimental_nanoindentation_loa.png
fig_008,5,picture,"Fig. 5. Load vs. indenter depth curves for DLC with 20, 30 and 55% sp 3 %.",images/fig_008_Fig_5_Load_vs_indenter_depth_curves_f.png
fig_009,6,picture,"Fig. 6. (a) Elastic modulus for different sp 3 %, red and blue symbols represent experiments and simulations respectively. Line indicates the fit E = 478 . 5[0 . 248 + sp 3 ) ] 3 / 2 [29,70] . (b) Hybridization as a function of the average coordination of every sample indented with MD. (c) Elastic modulus vs. average coordination. The line indicates the best fit using the model by He and Thorpe [71] , E r = k ( 〈 r 〉 -r p ) m , using r p = 2 . 4 , k = 280 . 3 GPa, and exponent m = 1 . 7 .",images/fig_009_Fig_6_a_Elastic_modulus_for_differen.png
fig_010,6,picture,,images/fig_010_no_caption.png
fig_011,6,picture,,images/fig_011_no_caption.png
fig_012,7,picture,"Fig. 8. Figure of merit H 3 /E 2 versus sp 3 content, for both experiments and simulations.",images/fig_012_Fig_8_Figure_of_merit_H_3_E_2_versus_.png
fig_013,7,picture,Fig. 7. MD hardness at full penetration versus %sp 3 . Experimental results are also included.,images/fig_013_Fig_7_MD_hardness_at_full_penetration_.png
fig_014,8,picture,Fig. 9. Indentation for different DLC samples. Every picture correspond to a half-cut of the sample. Color code illustrates the shear strain of each atom.,images/fig_014_Fig_9_Indentation_for_different_DLC_sa.png
fig_015,8,picture,"Fig. 10. Shear strain surface around atoms with more than 0.3 shear strain for an aC sample of sp 3 % = 30 %. a), b), c) and d) correspond at indenter depth of 0.5, 1.0, 1.5 and 2.0 nm respectively. Gray atoms correspond to the DLC surface.",images/fig_015_Fig_10_Shear_strain_surface_around_ato.png
fig_016,9,picture,"Fig. 12. Hybridization change for different sp 3 concentration. a) % hybridization change with respect to a non-indented sample with a sp 3 = 20%, left panel, right panel show the /Delta1 % sp 2 , and /Delta1 % sp 3 , respectively. b) % hybridizatoin change for a sp 3 = 55% sample. c) sp 3 as function of distance of the indenter. Calculation were perform at an indenter depth of z = 2 nm. Averages were calculated using spherical bins of 0.5 nm of thickness.",images/fig_016_Fig_12_Hybridization_change_for_differ.png
