figure_id,page,label,caption,image_path
fig_001,1,picture,,images/fig_001_no_caption.png
fig_002,1,picture,,images/fig_002_no_caption.png
fig_003,1,picture,,images/fig_003_no_caption.png
fig_004,3,picture,"Fig. 1 | Schematic overview of the BIRDSHOT data acquisition work fl ow. The dataset results from a multi-institutional effort combining alloy synthesis, mechanical testing across various strain rates (including nanoindentation, strain",images/fig_004_Fig_1__Schematic_overview_of_the_BIRDS.png
fig_005,5,picture,"Fig. 2 | Pairwise plot illustrating correlations between different experimental properties. This plot shows pairwise relations between yield strength, ultimate tensile strength, ratio of ultimate tensile strength and yield strength, elongation, hardness, modulus and ratio of hardness under dynamic and quasi-static conditions.",images/fig_005_Fig_2__Pairwise_plot_illustrating_corr.png
fig_006,6,picture,"Fig. 3 | Schematic representation of the two-layered variational deep Gaussian process (DGP) architecture with encoder-decoder based prior injection. Each variational multi-task Gaussian process (MTGP) layer reduces dimensionality from input to latent representation, governed by the reduction parameter.",images/fig_006_Fig_3__Schematic_representation_of_the.png
fig_007,9,picture,"Fig. 4 | The fi gure illustrates difference in fi tting performance for hardness between two DGP-all models. a Without prior injection, the points within the red circle are further from the actual value and b With prior injection, the points within the red circle tend to be closer to the actual value.",images/fig_007_Fig_4__The_fi_gure_illustrates_differe.png
fig_008,10,picture,,images/fig_008_no_caption.png
fig_009,11,picture,Fig. 6 | HDGP-P-All model results. a Predicted VarvYS at 298 K; b SFEcalculation; c AverageVEC; d Yield strength (MPa); e TrueUTS(MPa); f UTS/YSratio; g Elongation; h Hardness (GPa); i Modulus (GPa); j Average HDYN HQS; k Depth of penetration (mm).,images/fig_009_Fig_6__HDGP-P-All_model_results_a_Pre.png
fig_010,12,picture,"Fig. 7 | Schematic representation of the two-layered variational deep Gaussian process (DGP) architecture. Each variational multi-task Gaussian process (MTGP) layer reduces dimensionality from input to latent representation, governed by the reduction parameter.",images/fig_010_Fig_7__Schematic_representation_of_the.png
fig_011,13,picture,Fig. 8 | The fi gure illustrates RMSE and spearman rank coef fi cient for different reduction parameters. Figure at the top shows mean RMSE for test set over all tasks with respect to different reduction parameter for HDGP-NP-All. Bottom fi gure,images/fig_011_Fig_8__The_fi_gure_illustrates_RMSE_an.png
